Bandit,Reward,Algorithm
4,2.102623,Epsilon-Greedy
4,5.280541,Epsilon-Greedy
4,4.686849,Epsilon-Greedy
4,4.070972,Epsilon-Greedy
4,3.513567,Epsilon-Greedy
4,4.207598,Epsilon-Greedy
4,3.377763,Epsilon-Greedy
4,3.644511,Epsilon-Greedy
4,4.362014,Epsilon-Greedy
4,4.581314,Epsilon-Greedy
4,4.551737,Epsilon-Greedy
4,3.289872,Epsilon-Greedy
4,2.212328,Epsilon-Greedy
4,2.77943,Epsilon-Greedy
4,5.55286,Epsilon-Greedy
4,3.560482,Epsilon-Greedy
4,4.012147,Epsilon-Greedy
4,4.930934,Epsilon-Greedy
4,3.760775,Epsilon-Greedy
4,4.853975,Epsilon-Greedy
4,3.72896,Epsilon-Greedy
4,3.386905,Epsilon-Greedy
4,5.912318,Epsilon-Greedy
4,5.065227,Epsilon-Greedy
4,5.204923,Epsilon-Greedy
4,2.80334,Epsilon-Greedy
4,3.300853,Epsilon-Greedy
4,3.991183,Epsilon-Greedy
4,3.690907,Epsilon-Greedy
4,4.803813,Epsilon-Greedy
4,4.613841,Epsilon-Greedy
4,5.357881,Epsilon-Greedy
4,3.566697,Epsilon-Greedy
4,4.203823,Epsilon-Greedy
4,5.154354,Epsilon-Greedy
4,3.522618,Epsilon-Greedy
4,3.335773,Epsilon-Greedy
4,5.360111,Epsilon-Greedy
4,1.962924,Epsilon-Greedy
4,5.570032,Epsilon-Greedy
4,3.697676,Epsilon-Greedy
4,3.995437,Epsilon-Greedy
4,5.271138,Epsilon-Greedy
4,4.770863,Epsilon-Greedy
4,2.55439,Epsilon-Greedy
4,3.155863,Epsilon-Greedy
4,4.069653,Epsilon-Greedy
4,4.983504,Epsilon-Greedy
4,4.473627,Epsilon-Greedy
4,4.054351,Epsilon-Greedy
4,3.568058,Epsilon-Greedy
4,5.859967,Epsilon-Greedy
4,3.889068,Epsilon-Greedy
4,4.976309,Epsilon-Greedy
4,3.842276,Epsilon-Greedy
4,2.644942,Epsilon-Greedy
4,2.087293,Epsilon-Greedy
4,4.362476,Epsilon-Greedy
4,4.741963,Epsilon-Greedy
4,5.476659,Epsilon-Greedy
4,3.926389,Epsilon-Greedy
4,3.717779,Epsilon-Greedy
4,4.295478,Epsilon-Greedy
4,2.902654,Epsilon-Greedy
4,4.275635,Epsilon-Greedy
4,4.278723,Epsilon-Greedy
4,3.891371,Epsilon-Greedy
4,3.944515,Epsilon-Greedy
4,5.516233,Epsilon-Greedy
4,4.312458,Epsilon-Greedy
4,3.686976,Epsilon-Greedy
4,2.400877,Epsilon-Greedy
4,2.63141,Epsilon-Greedy
4,4.535492,Epsilon-Greedy
4,3.172107,Epsilon-Greedy
4,3.696136,Epsilon-Greedy
4,4.114861,Epsilon-Greedy
4,5.551263,Epsilon-Greedy
4,5.02658,Epsilon-Greedy
4,4.166088,Epsilon-Greedy
4,5.489045,Epsilon-Greedy
4,4.877825,Epsilon-Greedy
4,2.269127,Epsilon-Greedy
4,5.444339,Epsilon-Greedy
4,4.200134,Epsilon-Greedy
4,1.829134,Epsilon-Greedy
4,4.981547,Epsilon-Greedy
4,4.330701,Epsilon-Greedy
4,3.985282,Epsilon-Greedy
4,4.796405,Epsilon-Greedy
4,3.993801,Epsilon-Greedy
4,4.403119,Epsilon-Greedy
4,3.877089,Epsilon-Greedy
4,3.924696,Epsilon-Greedy
4,2.898748,Epsilon-Greedy
4,4.487673,Epsilon-Greedy
4,6.055093,Epsilon-Greedy
4,3.68064,Epsilon-Greedy
4,3.184501,Epsilon-Greedy
4,3.440975,Epsilon-Greedy
4,2.565911,Epsilon-Greedy
4,3.808467,Epsilon-Greedy
4,3.89805,Epsilon-Greedy
4,4.042134,Epsilon-Greedy
4,4.851354,Epsilon-Greedy
4,3.379636,Epsilon-Greedy
4,3.45272,Epsilon-Greedy
4,2.771946,Epsilon-Greedy
4,3.373476,Epsilon-Greedy
4,1.80787,Epsilon-Greedy
4,4.851402,Epsilon-Greedy
4,3.012064,Epsilon-Greedy
4,3.027731,Epsilon-Greedy
4,4.079482,Epsilon-Greedy
4,3.189494,Epsilon-Greedy
4,3.095458,Epsilon-Greedy
4,2.938737,Epsilon-Greedy
4,3.345627,Epsilon-Greedy
4,4.218223,Epsilon-Greedy
4,4.910564,Epsilon-Greedy
4,3.126026,Epsilon-Greedy
4,3.996704,Epsilon-Greedy
4,3.559495,Epsilon-Greedy
4,5.582038,Epsilon-Greedy
4,5.395732,Epsilon-Greedy
4,2.690351,Epsilon-Greedy
4,4.027691,Epsilon-Greedy
4,4.127365,Epsilon-Greedy
4,3.54189,Epsilon-Greedy
4,3.374007,Epsilon-Greedy
4,3.171416,Epsilon-Greedy
4,3.454831,Epsilon-Greedy
4,1.49724,Epsilon-Greedy
4,4.684642,Epsilon-Greedy
4,4.390253,Epsilon-Greedy
4,3.915091,Epsilon-Greedy
4,3.275998,Epsilon-Greedy
4,3.46742,Epsilon-Greedy
4,6.04332,Epsilon-Greedy
4,5.619612,Epsilon-Greedy
4,3.435443,Epsilon-Greedy
4,2.997953,Epsilon-Greedy
4,3.541381,Epsilon-Greedy
4,3.693284,Epsilon-Greedy
4,2.860858,Epsilon-Greedy
4,4.267743,Epsilon-Greedy
4,3.851449,Epsilon-Greedy
4,3.59254,Epsilon-Greedy
4,3.398031,Epsilon-Greedy
4,4.760251,Epsilon-Greedy
4,3.276661,Epsilon-Greedy
4,6.433848,Epsilon-Greedy
4,4.169729,Epsilon-Greedy
4,4.089394,Epsilon-Greedy
4,4.488044,Epsilon-Greedy
4,5.580134,Epsilon-Greedy
4,3.405484,Epsilon-Greedy
4,4.588329,Epsilon-Greedy
4,4.543483,Epsilon-Greedy
4,5.034921,Epsilon-Greedy
4,3.729797,Epsilon-Greedy
4,4.947617,Epsilon-Greedy
4,3.323587,Epsilon-Greedy
4,1.76967,Epsilon-Greedy
4,2.419748,Epsilon-Greedy
4,4.016053,Epsilon-Greedy
4,4.892411,Epsilon-Greedy
4,4.09562,Epsilon-Greedy
4,4.165194,Epsilon-Greedy
4,4.568937,Epsilon-Greedy
4,4.509378,Epsilon-Greedy
4,5.247327,Epsilon-Greedy
4,3.512605,Epsilon-Greedy
4,4.403821,Epsilon-Greedy
4,5.509771,Epsilon-Greedy
4,4.402034,Epsilon-Greedy
4,5.286975,Epsilon-Greedy
4,3.555362,Epsilon-Greedy
4,4.96385,Epsilon-Greedy
4,4.973557,Epsilon-Greedy
4,2.367782,Epsilon-Greedy
4,4.280964,Epsilon-Greedy
4,4.170594,Epsilon-Greedy
4,4.835565,Epsilon-Greedy
4,4.180531,Epsilon-Greedy
4,6.643572,Epsilon-Greedy
4,5.782164,Epsilon-Greedy
4,4.590275,Epsilon-Greedy
4,4.250244,Epsilon-Greedy
4,2.860246,Epsilon-Greedy
4,4.183883,Epsilon-Greedy
4,4.100095,Epsilon-Greedy
4,6.538691,Epsilon-Greedy
4,4.523953,Epsilon-Greedy
4,5.070996,Epsilon-Greedy
4,3.417199,Epsilon-Greedy
4,4.852246,Epsilon-Greedy
4,1.679263,Epsilon-Greedy
4,5.270126,Epsilon-Greedy
4,3.181526,Epsilon-Greedy
4,2.874581,Epsilon-Greedy
4,3.850963,Epsilon-Greedy
4,4.804439,Epsilon-Greedy
4,3.842786,Epsilon-Greedy
4,2.982808,Epsilon-Greedy
4,4.516669,Epsilon-Greedy
4,3.200889,Epsilon-Greedy
4,3.835464,Epsilon-Greedy
4,3.322434,Epsilon-Greedy
4,4.149287,Epsilon-Greedy
4,3.885156,Epsilon-Greedy
4,4.155037,Epsilon-Greedy
4,6.569927,Epsilon-Greedy
4,2.892896,Epsilon-Greedy
4,5.388582,Epsilon-Greedy
4,1.340649,Epsilon-Greedy
4,2.822472,Epsilon-Greedy
4,4.203702,Epsilon-Greedy
4,3.850122,Epsilon-Greedy
4,4.527765,Epsilon-Greedy
4,3.638109,Epsilon-Greedy
4,3.93041,Epsilon-Greedy
4,3.910779,Epsilon-Greedy
4,4.029984,Epsilon-Greedy
4,4.098746,Epsilon-Greedy
4,3.869655,Epsilon-Greedy
4,3.649318,Epsilon-Greedy
4,3.770784,Epsilon-Greedy
4,4.234652,Epsilon-Greedy
4,4.252756,Epsilon-Greedy
4,3.342767,Epsilon-Greedy
4,3.062644,Epsilon-Greedy
4,2.330221,Epsilon-Greedy
4,5.764687,Epsilon-Greedy
4,2.758499,Epsilon-Greedy
4,3.183695,Epsilon-Greedy
4,4.756352,Epsilon-Greedy
4,2.586976,Epsilon-Greedy
4,2.246531,Epsilon-Greedy
4,3.455078,Epsilon-Greedy
4,4.971823,Epsilon-Greedy
4,3.969042,Epsilon-Greedy
4,6.15524,Epsilon-Greedy
4,4.672257,Epsilon-Greedy
4,2.711553,Epsilon-Greedy
4,4.100817,Epsilon-Greedy
4,2.370407,Epsilon-Greedy
4,4.551864,Epsilon-Greedy
4,3.530852,Epsilon-Greedy
4,4.526937,Epsilon-Greedy
4,5.620533,Epsilon-Greedy
4,5.570495,Epsilon-Greedy
4,3.841899,Epsilon-Greedy
4,4.806593,Epsilon-Greedy
4,3.651987,Epsilon-Greedy
4,4.198558,Epsilon-Greedy
4,2.475985,Epsilon-Greedy
4,3.201561,Epsilon-Greedy
4,4.573967,Epsilon-Greedy
4,2.246426,Epsilon-Greedy
4,4.095321,Epsilon-Greedy
4,4.179037,Epsilon-Greedy
4,4.607567,Epsilon-Greedy
4,2.48082,Epsilon-Greedy
4,2.310443,Epsilon-Greedy
4,4.987122,Epsilon-Greedy
4,4.179845,Epsilon-Greedy
4,3.665148,Epsilon-Greedy
4,2.442048,Epsilon-Greedy
4,3.599619,Epsilon-Greedy
4,2.912219,Epsilon-Greedy
4,4.929483,Epsilon-Greedy
4,2.680652,Epsilon-Greedy
4,3.773755,Epsilon-Greedy
4,4.816699,Epsilon-Greedy
4,4.618662,Epsilon-Greedy
4,3.546256,Epsilon-Greedy
4,4.632942,Epsilon-Greedy
4,4.818485,Epsilon-Greedy
4,4.133848,Epsilon-Greedy
4,4.44664,Epsilon-Greedy
4,3.786728,Epsilon-Greedy
4,5.129069,Epsilon-Greedy
4,3.919584,Epsilon-Greedy
4,2.59484,Epsilon-Greedy
4,4.501033,Epsilon-Greedy
4,2.957515,Epsilon-Greedy
4,5.277927,Epsilon-Greedy
4,4.41257,Epsilon-Greedy
4,2.070315,Epsilon-Greedy
4,4.867765,Epsilon-Greedy
4,4.283032,Epsilon-Greedy
4,4.7134,Epsilon-Greedy
4,4.047017,Epsilon-Greedy
4,5.223171,Epsilon-Greedy
4,3.316568,Epsilon-Greedy
4,4.919828,Epsilon-Greedy
4,4.313862,Epsilon-Greedy
4,2.31818,Epsilon-Greedy
4,2.241401,Epsilon-Greedy
4,3.69964,Epsilon-Greedy
4,3.195213,Epsilon-Greedy
4,2.066322,Epsilon-Greedy
4,2.792604,Epsilon-Greedy
4,3.834277,Epsilon-Greedy
4,3.174415,Epsilon-Greedy
4,6.309723,Epsilon-Greedy
4,3.336103,Epsilon-Greedy
4,5.167103,Epsilon-Greedy
4,5.621109,Epsilon-Greedy
4,3.482466,Epsilon-Greedy
4,3.401076,Epsilon-Greedy
4,3.504031,Epsilon-Greedy
4,3.831885,Epsilon-Greedy
4,3.626601,Epsilon-Greedy
4,2.82643,Epsilon-Greedy
4,4.343619,Epsilon-Greedy
4,3.623447,Epsilon-Greedy
4,6.357376,Epsilon-Greedy
4,4.937838,Epsilon-Greedy
4,3.637465,Epsilon-Greedy
4,4.5838,Epsilon-Greedy
4,4.543499,Epsilon-Greedy
4,5.08361,Epsilon-Greedy
4,2.251453,Epsilon-Greedy
4,2.74266,Epsilon-Greedy
4,3.159091,Epsilon-Greedy
4,3.991722,Epsilon-Greedy
4,0.519191,Epsilon-Greedy
4,3.129777,Epsilon-Greedy
4,5.323875,Epsilon-Greedy
4,2.868184,Epsilon-Greedy
4,4.240023,Epsilon-Greedy
4,4.305554,Epsilon-Greedy
4,4.405618,Epsilon-Greedy
4,4.715007,Epsilon-Greedy
4,5.008521,Epsilon-Greedy
4,5.531689,Epsilon-Greedy
4,3.629677,Epsilon-Greedy
4,3.166441,Epsilon-Greedy
4,4.418253,Epsilon-Greedy
4,4.400412,Epsilon-Greedy
4,4.817753,Epsilon-Greedy
4,2.510607,Epsilon-Greedy
4,4.753304,Epsilon-Greedy
4,2.649752,Epsilon-Greedy
4,4.266581,Epsilon-Greedy
4,3.59862,Epsilon-Greedy
4,5.208982,Epsilon-Greedy
4,2.558506,Epsilon-Greedy
4,4.175546,Epsilon-Greedy
4,4.408512,Epsilon-Greedy
4,3.637043,Epsilon-Greedy
4,4.174639,Epsilon-Greedy
4,3.519868,Epsilon-Greedy
4,4.127803,Epsilon-Greedy
4,4.367102,Epsilon-Greedy
4,3.474195,Epsilon-Greedy
4,3.868962,Epsilon-Greedy
4,1.96476,Epsilon-Greedy
4,2.299006,Epsilon-Greedy
4,3.593507,Epsilon-Greedy
4,2.770131,Epsilon-Greedy
4,3.82226,Epsilon-Greedy
4,5.121853,Epsilon-Greedy
4,5.310544,Epsilon-Greedy
4,3.777587,Epsilon-Greedy
4,2.853041,Epsilon-Greedy
4,2.77274,Epsilon-Greedy
4,5.660137,Epsilon-Greedy
4,4.897889,Epsilon-Greedy
4,3.793433,Epsilon-Greedy
4,4.074206,Epsilon-Greedy
4,3.770597,Epsilon-Greedy
4,4.505502,Epsilon-Greedy
4,3.971075,Epsilon-Greedy
4,4.707716,Epsilon-Greedy
4,4.72254,Epsilon-Greedy
4,3.055631,Epsilon-Greedy
4,4.323246,Epsilon-Greedy
4,5.249202,Epsilon-Greedy
4,4.491405,Epsilon-Greedy
4,4.374978,Epsilon-Greedy
4,3.2426,Epsilon-Greedy
4,3.259168,Epsilon-Greedy
4,3.985711,Epsilon-Greedy
4,3.365395,Epsilon-Greedy
4,4.995752,Epsilon-Greedy
4,3.826965,Epsilon-Greedy
4,3.31184,Epsilon-Greedy
4,5.023522,Epsilon-Greedy
4,2.906371,Epsilon-Greedy
4,3.975823,Epsilon-Greedy
4,3.428995,Epsilon-Greedy
4,6.402026,Epsilon-Greedy
4,3.977397,Epsilon-Greedy
4,3.123681,Epsilon-Greedy
4,4.03766,Epsilon-Greedy
4,3.820988,Epsilon-Greedy
4,3.268123,Epsilon-Greedy
4,4.988883,Epsilon-Greedy
4,4.62331,Epsilon-Greedy
4,4.275511,Epsilon-Greedy
4,3.201455,Epsilon-Greedy
4,5.81198,Epsilon-Greedy
4,4.357926,Epsilon-Greedy
4,3.420537,Epsilon-Greedy
4,5.08901,Epsilon-Greedy
4,4.114533,Epsilon-Greedy
4,4.950145,Epsilon-Greedy
4,4.401344,Epsilon-Greedy
4,6.182507,Epsilon-Greedy
4,2.968424,Epsilon-Greedy
4,3.470702,Epsilon-Greedy
4,6.96501,Epsilon-Greedy
4,3.903371,Epsilon-Greedy
4,2.872173,Epsilon-Greedy
4,4.564277,Epsilon-Greedy
4,5.091046,Epsilon-Greedy
4,3.889267,Epsilon-Greedy
4,2.135668,Epsilon-Greedy
4,3.098399,Epsilon-Greedy
4,2.438193,Epsilon-Greedy
4,6.001737,Epsilon-Greedy
4,2.367048,Epsilon-Greedy
4,3.427232,Epsilon-Greedy
4,4.53286,Epsilon-Greedy
4,2.746192,Epsilon-Greedy
4,4.401626,Epsilon-Greedy
4,3.31439,Epsilon-Greedy
4,4.3238,Epsilon-Greedy
4,3.70851,Epsilon-Greedy
4,3.84327,Epsilon-Greedy
4,5.062402,Epsilon-Greedy
4,2.844432,Epsilon-Greedy
4,4.319223,Epsilon-Greedy
4,4.807293,Epsilon-Greedy
4,2.754234,Epsilon-Greedy
4,2.444101,Epsilon-Greedy
4,3.727604,Epsilon-Greedy
4,1.904842,Epsilon-Greedy
4,4.254174,Epsilon-Greedy
4,4.648924,Epsilon-Greedy
4,2.608004,Epsilon-Greedy
4,4.847079,Epsilon-Greedy
4,5.222501,Epsilon-Greedy
4,4.362656,Epsilon-Greedy
4,5.298739,Epsilon-Greedy
4,3.673119,Epsilon-Greedy
4,3.449052,Epsilon-Greedy
4,3.869084,Epsilon-Greedy
4,2.965045,Epsilon-Greedy
4,3.411236,Epsilon-Greedy
4,4.009292,Epsilon-Greedy
4,4.139343,Epsilon-Greedy
4,4.452535,Epsilon-Greedy
4,1.899081,Epsilon-Greedy
4,6.937753,Epsilon-Greedy
4,3.061532,Epsilon-Greedy
4,4.644268,Epsilon-Greedy
4,4.276569,Epsilon-Greedy
4,3.349286,Epsilon-Greedy
4,4.547216,Epsilon-Greedy
4,3.08284,Epsilon-Greedy
4,3.969112,Epsilon-Greedy
4,6.003407,Epsilon-Greedy
4,3.551079,Epsilon-Greedy
4,4.067499,Epsilon-Greedy
4,2.923339,Epsilon-Greedy
4,4.668408,Epsilon-Greedy
4,3.228372,Epsilon-Greedy
4,4.296628,Epsilon-Greedy
4,5.005143,Epsilon-Greedy
4,3.74762,Epsilon-Greedy
4,4.564403,Epsilon-Greedy
4,4.355551,Epsilon-Greedy
4,5.04692,Epsilon-Greedy
4,4.56995,Epsilon-Greedy
4,5.289757,Epsilon-Greedy
4,3.7386,Epsilon-Greedy
4,2.721977,Epsilon-Greedy
4,2.356259,Epsilon-Greedy
4,2.447273,Epsilon-Greedy
4,3.696464,Epsilon-Greedy
4,4.169694,Epsilon-Greedy
4,3.299884,Epsilon-Greedy
4,1.750904,Epsilon-Greedy
4,3.317008,Epsilon-Greedy
4,3.545756,Epsilon-Greedy
4,3.980065,Epsilon-Greedy
4,5.445385,Epsilon-Greedy
4,2.17593,Epsilon-Greedy
4,4.679973,Epsilon-Greedy
4,4.575469,Epsilon-Greedy
4,3.747314,Epsilon-Greedy
4,4.392085,Epsilon-Greedy
4,3.811103,Epsilon-Greedy
4,4.553073,Epsilon-Greedy
4,3.129427,Epsilon-Greedy
4,3.015728,Epsilon-Greedy
4,2.087897,Epsilon-Greedy
4,4.396839,Epsilon-Greedy
4,3.396676,Epsilon-Greedy
4,2.413188,Epsilon-Greedy
4,3.0308,Epsilon-Greedy
4,4.551037,Epsilon-Greedy
4,4.160476,Epsilon-Greedy
4,3.062772,Epsilon-Greedy
4,5.397415,Epsilon-Greedy
4,3.924856,Epsilon-Greedy
4,4.471961,Epsilon-Greedy
4,4.139215,Epsilon-Greedy
4,3.716058,Epsilon-Greedy
4,4.401192,Epsilon-Greedy
4,5.14942,Epsilon-Greedy
4,3.699096,Epsilon-Greedy
4,4.747165,Epsilon-Greedy
4,3.299168,Epsilon-Greedy
4,5.819573,Epsilon-Greedy
4,3.171806,Epsilon-Greedy
4,6.222696,Epsilon-Greedy
4,2.762179,Epsilon-Greedy
4,3.645892,Epsilon-Greedy
4,4.453538,Epsilon-Greedy
4,5.224584,Epsilon-Greedy
4,5.623397,Epsilon-Greedy
4,5.459494,Epsilon-Greedy
4,2.314689,Epsilon-Greedy
4,4.414542,Epsilon-Greedy
4,3.227696,Epsilon-Greedy
4,4.976384,Epsilon-Greedy
4,5.104049,Epsilon-Greedy
4,4.302685,Epsilon-Greedy
4,3.465852,Epsilon-Greedy
4,2.899221,Epsilon-Greedy
4,3.288701,Epsilon-Greedy
4,3.24096,Epsilon-Greedy
4,4.033459,Epsilon-Greedy
4,5.031063,Epsilon-Greedy
4,4.108543,Epsilon-Greedy
4,2.827397,Epsilon-Greedy
4,2.766532,Epsilon-Greedy
4,4.694998,Epsilon-Greedy
4,5.946543,Epsilon-Greedy
4,4.096434,Epsilon-Greedy
4,3.319113,Epsilon-Greedy
4,3.009308,Epsilon-Greedy
4,4.629414,Epsilon-Greedy
4,5.583465,Epsilon-Greedy
4,3.69322,Epsilon-Greedy
4,3.466091,Epsilon-Greedy
4,2.592856,Epsilon-Greedy
4,4.072997,Epsilon-Greedy
4,4.780078,Epsilon-Greedy
4,3.250821,Epsilon-Greedy
4,4.225343,Epsilon-Greedy
4,4.503736,Epsilon-Greedy
4,4.582396,Epsilon-Greedy
4,2.929406,Epsilon-Greedy
4,3.110254,Epsilon-Greedy
4,4.087186,Epsilon-Greedy
4,4.708089,Epsilon-Greedy
4,6.155743,Epsilon-Greedy
4,2.868547,Epsilon-Greedy
4,4.251306,Epsilon-Greedy
4,3.998449,Epsilon-Greedy
4,3.561413,Epsilon-Greedy
4,5.166303,Epsilon-Greedy
4,4.568441,Epsilon-Greedy
4,4.599594,Epsilon-Greedy
4,2.812087,Epsilon-Greedy
4,3.646984,Epsilon-Greedy
4,4.050536,Epsilon-Greedy
4,4.170497,Epsilon-Greedy
4,6.464878,Epsilon-Greedy
4,3.69986,Epsilon-Greedy
4,1.474281,Epsilon-Greedy
4,4.063957,Epsilon-Greedy
4,4.507758,Epsilon-Greedy
4,4.053988,Epsilon-Greedy
4,1.111729,Epsilon-Greedy
4,4.293269,Epsilon-Greedy
4,4.540113,Epsilon-Greedy
4,2.717501,Epsilon-Greedy
4,3.311333,Epsilon-Greedy
4,3.937343,Epsilon-Greedy
4,3.436351,Epsilon-Greedy
4,3.589069,Epsilon-Greedy
4,4.30245,Epsilon-Greedy
4,3.372072,Epsilon-Greedy
4,2.465701,Epsilon-Greedy
4,4.912435,Epsilon-Greedy
4,2.956027,Epsilon-Greedy
4,3.79104,Epsilon-Greedy
4,3.492892,Epsilon-Greedy
4,2.828958,Epsilon-Greedy
4,4.878644,Epsilon-Greedy
4,4.762198,Epsilon-Greedy
4,3.608435,Epsilon-Greedy
4,3.984807,Epsilon-Greedy
4,4.108846,Epsilon-Greedy
4,2.881369,Epsilon-Greedy
4,3.005894,Epsilon-Greedy
4,3.969061,Epsilon-Greedy
4,2.80694,Epsilon-Greedy
4,3.959911,Epsilon-Greedy
4,1.697303,Epsilon-Greedy
4,3.555054,Epsilon-Greedy
4,4.28489,Epsilon-Greedy
4,4.207094,Epsilon-Greedy
4,5.142326,Epsilon-Greedy
4,2.879178,Epsilon-Greedy
4,3.911657,Epsilon-Greedy
4,4.92135,Epsilon-Greedy
4,4.276544,Epsilon-Greedy
4,4.799499,Epsilon-Greedy
